"index","station_name","latlng","lat","lng","district"
"0","大樹區公所","22.6851,120.41481","22.6851","120.41481","高雄市大樹區"
"0","坔埔","22.65803,120.3848","22.65803","120.3848","高雄市鳥松區"
"0","影劇七村","22.62055,120.38138","22.62055","120.38138","高雄市大寮區"
"0","高碼山莊","22.65821,120.38947","22.65821","120.38947","高雄市鳥松區"
"0","華美","22.65842,120.39191","22.65842","120.39191","高雄市鳥松區"
"0","仁美國小","22.65798,120.3942","22.65798","120.3942","高雄市鳥松區"
"0","井仔腳","22.66837,120.40939","22.66837","120.40939","高雄市大樹區"
"0","小坪頂","22.68069,120.40899","22.68069","120.40899","高雄市大樹區"
"0","龍目","22.68545,120.41644","22.68545","120.41644","高雄市大樹區"
"0","大樹路","22.68713,120.4245","22.68713","120.4245","高雄市大樹區"
"0","大樹市場","22.68814,120.43236","22.68814","120.43236","高雄市大樹區"
"0","商協一號","22.61849,120.3838","22.61849","120.3838","高雄市大寮區"
"0","大樹分駐所","22.69036,120.43318","22.69036","120.43318","高雄市大樹區"
"0","大樹","22.692,120.43246","22.692","120.43246","高雄市大樹區"
"0","水管路口(神農路)","22.65941,120.37306","22.65941","120.37306","高雄市鳥松區"
"0","五甲市場","22.59573,120.33158","22.59573","120.33158","高雄市鳳山區"
"0","岡山交流道","22.78718,120.31856","22.78718","120.31856","高雄市燕巢區"
"0","大社中正路(保社里)","22.74652,120.35078","22.74652","120.35078","高雄市大社區"
"0","吉貝公司","22.73981,120.34851","22.73981","120.34851","高雄市大社區"
"0","中都濕地公園(同盟三路)","22.64865,120.2855","22.64865","120.2855","高雄市三民區"
"0","經五路","22.72164,120.30185","22.72164","120.30185","高雄市楠梓區"
"0","自強三路口(三多四路)","22.61268,120.30098","22.61268","120.30098","高雄市苓雅區"
"0","台貿六村","22.61563,120.38682","22.61563","120.38682","高雄市大寮區"
"0","小港行政中心","22.56514,120.3382","22.56514","120.3382","高雄市小港區"
"0","北汕巷","22.59893,120.27757","22.59893","120.27757","高雄市前鎮區"
"0","鳳源里","22.52464,120.34457","22.52464","120.34457","高雄市小港區"
"0","中山路(中正路口)","22.7319,120.34825","22.7319","120.34825","高雄市大社區"
"0","安招里","22.79086,120.33963","22.79086","120.33963","高雄市燕巢區"
"0","橋頭地檢署","22.73899,120.30478","22.73899","120.30478","高雄市橋頭區"
"0","福山國中","22.67932,120.31457","22.67932","120.31457","高雄市左營區"
"0","明善堂(黃埔路)","22.62298,120.36562","22.62298","120.36562","高雄市鳳山區"
"0","坊崁","22.76147,120.44685","22.76147","120.44685","高雄市大樹區"
"0","統嶺坑","22.75617,120.44774","22.75617","120.44774","高雄市大樹區"
"0","麻竹園","22.74633,120.44707","22.74633","120.44707","高雄市大樹區"
"0","商協二號","22.61389,120.38895","22.61389","120.38895","高雄市大寮區"
"0","大樹農會","22.69094,120.43227","22.69094","120.43227","高雄市大樹區"
"0","興山里","22.69412,120.42545","22.69412","120.42545","高雄市大樹區"
"0","和山里口","22.69703,120.4205","22.69703","120.4205","高雄市大樹區"
"0","山頂崎腳","22.69652,120.4097","22.69652","120.4097","高雄市大樹區"
"0","五叉路口","22.69958,120.40542","22.69958","120.40542","高雄市大樹區"
"0","崎頂","22.7016,120.39617","22.7016","120.39617","高雄市仁武區"
"0","清淨寺A(仁林路)","22.7011,120.39083","22.7011","120.39083","高雄市仁武區"
"0","油庫","22.70115,120.38796","22.70115","120.38796","高雄市仁武區"
"0","磚廠","22.69877,120.37962","22.69877","120.37962","高雄市仁武區"
"0","久保祥公司","22.69201,120.37009","22.69201","120.37009","高雄市仁武區"
"0","山仔頂","22.61103,120.39241","22.61103","120.39241","高雄市大寮區"
"0","東亞漆廠","22.68862,120.36687","22.68862","120.36687","高雄市仁武區"
"0","忠山藥廠","22.68584,120.36414","22.68584","120.36414","高雄市仁武區"
"0","埤內巷","22.68262,120.36427","22.68262","120.36427","高雄市仁武區"
"0","天后宮(成功路)","22.68146,120.3621","22.68146","120.3621","高雄市仁武區"
"0","考潭里","22.67938,120.36195","22.67938","120.36195","高雄市仁武區"
"0","綠園山莊","22.67679,120.36292","22.67679","120.36292","高雄市仁武區"
"0","鞏威新村","22.67439,120.36356","22.67439","120.36356","高雄市仁武區"
"0","經三路口","22.72124,120.30614","22.72124","120.30614","高雄市楠梓區"
"0","建工路","22.64834,120.31897","22.64834","120.31897","高雄市三民區"
"0","西塢食品","22.75037,120.35208","22.75037","120.35208","高雄市大社區"
"0","經五開發路口","22.72045,120.30239","22.72045","120.30239","高雄市楠梓區"
"0","輔英科大","22.60847,120.39478","22.60847","120.39478","高雄市大寮區"
"0","明善堂","22.62358,120.36687","22.62358","120.36687","高雄市鳳山區"
"0","杉林分駐所","22.97439,120.54165","22.97439","120.54165","高雄市杉林區"
"0","大仁路(裕賀牛觀光工廠)","22.77018,120.38329","22.77018","120.38329","高雄市燕巢區"
"0","營房(大樹)","22.67968,120.42592","22.67968","120.42592","高雄市大樹區"
"0","綠陽山莊","22.67391,120.42588","22.67391","120.42588","高雄市大樹區"
"0","竹寮","22.672,120.42602","22.672","120.42602","高雄市大樹區"
"0","雄獅大地","22.66932,120.42603","22.66932","120.42603","高雄市大樹區"
"0","九大加油站","22.65844,120.42476","22.65844","120.42476","高雄市大樹區"
"0","大樹國中","22.65644,120.42265","22.65644","120.42265","高雄市大樹區"
"0","庄內(九曲北極殿)","22.65084,120.42242","22.65084","120.42242","高雄市大樹區"
"0","勵志新城","22.78994,120.29627","22.78994","120.29627","高雄市岡山區"
"0","九曲路","22.64778,120.4205","22.64778","120.4205","高雄市大樹區"
"0","建軍路口","22.62866,120.34153","22.62866","120.34153","高雄市鳳山區"
"0","中正國小","22.63111,120.33441","22.63111","120.33441","高雄市苓雅區"
"0","輔仁路口(建國一路)","22.63184,120.332","22.63184","120.332","高雄市苓雅區"
"0","大仁國中","22.63271,120.32932","22.63271","120.32932","高雄市苓雅區"
"0","福德市場","22.6329,120.32734","22.6329","120.32734","高雄市苓雅區"
"0","聖功醫院","22.63269,120.32461","22.63269","120.32461","高雄市苓雅區"
"0","道明中學","22.63311,120.32276","22.63311","120.32276","高雄市苓雅區"
"0","凱旋路口","22.63396,120.31908","22.63396","120.31908","高雄市三民區"
"0","建國二路","22.63737,120.31221","22.63737","120.31221","高雄市三民區"
"0","大寮","22.60111,120.39938","22.60111","120.39938","高雄市大寮區"
"0","鐵路新村","22.63752,120.30824","22.63752","120.30824","高雄市三民區"
"0","南安國小","22.76443,120.24339","22.76443","120.24339","高雄市彌陀區"
"0","公館(大樹)","22.67703,120.42545","22.67703","120.42545","高雄市大樹區"
"0","翠屏路口(中山路)","22.73165,120.35027","22.73165","120.35027","高雄市大社區"
"0","橋頭地方法院(1)","22.73876,120.30453","22.73876","120.30453","高雄市橋頭區"
"0","山明路(北林路)","22.5643,120.36472","22.5643","120.36472","高雄市小港區"
"0","大寮路口","22.59773,120.40063","22.59773","120.40063","高雄市大寮區"
"0","油管路口","22.60645,120.35445","22.60645","120.35445","高雄市鳳山區"
"0","國校前","22.90326,120.18377","22.90326","120.18377","高雄市茄萣區"
"0","仕豐路","22.75084,120.30804","22.75084","120.30804","高雄市橋頭區"
"0","九甲圍","22.74222,120.29439","22.74222","120.29439","高雄市橋頭區"
"0","甲昌路","22.7388,120.29449","22.7388","120.29449","高雄市橋頭區"
"0","甲圍國小","22.7361,120.29324","22.7361","120.29324","高雄市橋頭區"
"0","中山高中","22.72834,120.29171","22.72834","120.29171","高雄市楠梓區"
"0","左營高中","22.69357,120.29704","22.69357","120.29704","高雄市左營區"
"0","北昌五街口","22.64303,120.37408","22.64303","120.37408","高雄市鳳山區"
"0","左營南站","22.67954,120.28732","22.67954","120.28732","高雄市左營區"
"0","極光精舍","22.59372,120.40752","22.59372","120.40752","高雄市大寮區"
"0","海青工商","22.67478,120.28653","22.67478","120.28653","高雄市左營區"
"0","明誠中學","22.66574,120.29155","22.66574","120.29155","高雄市鼓山區"
"0","海專路口(德賢路)","22.72765,120.30922","22.72765","120.30922","高雄市楠梓區"
"0","立群路口","22.56302,120.35518","22.56302","120.35518","高雄市小港區"
"0","軟體園區","22.6046,120.29933","22.6046","120.29933","高雄市前鎮區"
"0","中興里","22.72476,120.27765","22.72476","120.27765","高雄市楠梓區"
"0","山明里","22.5621,120.3665","22.5621","120.3665","高雄市小港區"
"0","三丘田","22.87775,120.59981","22.87775","120.59981","高雄市六龜區"
"0","紫竹寺","22.99892,120.5518","22.99892","120.5518","高雄市杉林區"
"0","榮佑路","22.68176,120.32083","22.68176","120.32083","高雄市左營區"
"0","新福市場","22.59252,120.41063","22.59252","120.41063","高雄市大寮區"
"0","岡山國小","22.79092,120.29449","22.79092","120.29449","高雄市岡山區"
"0","中正堂(岡山)","22.79077,120.28939","22.79077","120.28939","高雄市岡山區"
"0","大義二路口","22.78744,120.28648","22.78744","120.28648","高雄市岡山區"
"0","醒村","22.78445,120.28423","22.78445","120.28423","高雄市岡山區"
"0","後協","22.78434,120.28229","22.78434","120.28229","高雄市岡山區"
"0","西後協","22.78433,120.27648","22.78433","120.27648","高雄市岡山區"
"0","頂潭路口","22.77905,120.26981","22.77905","120.26981","高雄市岡山區"
"0","福興里","22.77715,120.26919","22.77715","120.26919","高雄市岡山區"
"0","石螺潭","22.7726,120.26843","22.7726","120.26843","高雄市岡山區"
"0","包公廟路口","22.59176,120.41381","22.59176","120.41381","高雄市大寮區"
"0","春木工廠","22.76582,120.26733","22.76582","120.26733","高雄市梓官區"
"0","北梓官","22.76251,120.26684","22.76251","120.26684","高雄市梓官區"
"0","大舍甲農會(大舍西路)","22.74695,120.26151","22.74695","120.26151","高雄市梓官區"
"0","赤崁東路(北赤崁)","22.74045,120.25106","22.74045","120.25106","高雄市梓官區"
"0","赤崁(梓官)","22.73761,120.24765","22.73761","120.24765","高雄市梓官區"
"0","蚵寮國小(南赤崁)","22.73443,120.2494","22.73443","120.2494","高雄市梓官區"
"0","蚵寮教會","22.73336,120.25052","22.73336","120.25052","高雄市梓官區"
"0","茄冬坑","22.735,120.25401","22.735","120.25401","高雄市梓官區"
"0","典寶","22.73699,120.25813","22.73699","120.25813","高雄市梓官區"
"0","典寶橋","22.73832,120.26436","22.73832","120.26436","高雄市梓官區"
"0","大寮國小","22.5911,120.41681","22.5911","120.41681","高雄市大寮區"
"0","北林路","22.56028,120.36815","22.56028","120.36815","高雄市小港區"
"0","新光人壽","22.50016,120.39288","22.50016","120.39288","高雄市林園區"
"0","六龜大橋","22.99665,120.64144","22.99665","120.64144","高雄市六龜區"
"0","南屏路","22.657,120.30007","22.657","120.30007","高雄市鼓山區"
"0","中正西路","22.7824,120.24693","22.7824","120.24693","高雄市彌陀區"
"0","彌壽宮","22.7784,120.24735","22.7784","120.24735","高雄市彌陀區"
"0","彌陀國中(進學路)","22.77616,120.24676","22.77616","120.24676","高雄市彌陀區"
"0","漯底路","22.76917,120.24483","22.76917","120.24483","高雄市彌陀區"
"0","頂厝(彌陀)","22.76542,120.24348","22.76542","120.24348","高雄市彌陀區"
"0","南天宮(彌陀)","22.76073,120.2385","22.76073","120.2385","高雄市彌陀區"
