,station_name,lat,lng,district
297,中正西路,22.7824,120.24693,Q6JW+XQ3 台灣高雄市彌陀區
298,彌壽宮,22.7784,120.24735,Q6HW+9W9 台灣高雄市彌陀區
299,彌陀國中(進學路),22.77616,120.24676,Q6GW+FP6 台灣高雄市彌陀區
300,漯底路,22.76917,120.24483,Q69V+MW8 台灣高雄市彌陀區
301,頂厝(彌陀),22.76542,120.24348,Q68V+599 台灣高雄市彌陀區
302,南天宮(彌陀),22.76073,120.2385,Q66Q+79X 台灣高雄市彌陀區
303,大明街口,22.59086,120.41897,HCR9+8HX 台灣高雄市大寮區
304,南寮,22.76021,120.23667,Q66P+3MM 台灣高雄市彌陀區
305,秀傳醫院,22.7965,120.29453,Q7WV+HRR 台灣高雄市岡山區
306,壽華路,22.79727,120.29312,Q7WV+W65 台灣高雄市岡山區
307,空軍機校,22.79919,120.28465,Q7XM+MVC 台灣高雄市岡山區
308,育才路口,22.80513,120.27699,R74G+3Q5 台灣高雄市岡山區
309,南本洲,22.80735,120.26524,R748+W3Q 台灣高雄市岡山區
310,本洲,22.80787,120.26102,R756+4CR 台灣高雄市岡山區
311,西本洲,22.80808,120.25847,R755+69Q 台灣高雄市永安區
312,工業區(本洲),22.8083,120.25162,R752+8JH 台灣高雄市永安區
313,維新-岡,22.80827,120.24677,R65W+8P2 台灣高雄市永安區
314,上寮路口(大寮路),22.59194,120.42199,HCRC+QQH 台灣高雄市大寮區
315,西維新,22.80943,120.24329,R65V+Q8F 台灣高雄市永安區
316,天文宮,22.81336,120.24279,R67V+84V 台灣高雄市永安區
317,南天宮(永安),22.81653,120.24152,R68R+JJ6 台灣高雄市永安區
318,牧場,22.81874,120.24044,R69R+F5W 台灣高雄市永安區
319,永安國中,22.82349,120.23828,R6FQ+98R 台灣高雄市永安區
320,永安,22.81856,120.22627,R69G+CGC 台灣高雄市永安區
321,永安國小,22.81589,120.22437,R68F+9P5 台灣高雄市永安區
322,西永安,22.81677,120.22139,R68C+PH2 台灣高雄市永安區
323,新港,22.81779,120.21064,R696+476 台灣高雄市永安區
324,新港國小,22.82192,120.20879,R6C5+QG7 台灣高雄市永安區
325,北新港,22.82839,120.20657,R6H4+9J4 台灣高雄市永安區
326,鹽村,22.83349,120.2086,R6M5+9CX 台灣高雄市永安區
327,華中路,22.58986,120.42875,HCQH+WFX 台灣高雄市大寮區
328,鹽田,22.83405,120.20971,R6M5+JV8 台灣高雄市永安區
329,塭仔邊,22.82965,120.21314,R6H7+V76 台灣高雄市永安區
330,永仁公園,22.68259,120.33212,M8MJ+2RQ 台灣高雄市仁武區
331,六張犁,22.90867,120.49043,WF5R+F57 台灣高雄市旗山區
332,圓富里,22.91598,120.49455,WF8V+9RV 台灣高雄市旗山區
333,口隘庄內,22.92029,120.49629,WFCW+4G7 台灣高雄市旗山區
